round,average_score,average_distance,num_closer_than_average,winner,score,distance,lat,lng,description,silver,silver_score,silver_distance,silver_lat,silver_lng,silver_description,bronze,bronze_score,bronze_distance,bronze_lat,bronze_lng,bronze_description,loser,loser_score,loser_distance,loser_lat,loser_lng,loser_description
Taulaga,5186.893388338834,9285753.119608372,530,Donald Trump,12999.96,174.913822394734,-11.056303295999955,-171.08954729399994,Southeastmost point,Kiwi-Man,11949.62,179634.32637495728,-9.443996,-171.206726,Tokelau: Fakaofo southmost point 2,Samoa,10914.33,298837.8341974005,-13.439808845999949,-172.356964112,Northmost point,Nigeria,214.18,19157656.21533431,6.375693798000155,2.709382057000086,Lagos southwestmost point
Nukunonu,5208.930572057206,9197539.072619408,531,Kiwi-Man,12999.43,2296.4973327370635,-9.217222,-171.835831,Tokelau: Nukunonu southwestmost point,Donald Trump,11939.05,221922.14549298954,-11.050890333834701,-171.08846804565744,American Samoa: Unorganized northwestmost point,Samoa,10870.41,474648.15455178247,-13.439808845999949,-172.356964112,Northmost point,Nigeria,196.13,19229904.651465364,12.161453247000054,14.67641544300011,Eastmost point
Gambell,6109.08099009901,5594133.856412125,514,Vladimir Putin,12967.88,128582.17941296061,64.65081643434618,-173.48189415041776,"64.650816, -173.481894",Donald Trump,11961.45,132261.49335316278,63.07032503129075,-169.5993600518207,"63.070325, -169.59936",Donald Trump (without dependencies),10908.39,322622.0619964213,64.93110942860582,-165.57780302100838,"64.931109, -165.577803",Lesotho,1043.21,15839039.729620771,-28.57080078099989,28.65136909500012,Northmost point
Lorino,6121.759669966997,5543380.510692537,515,Vladimir Putin,12994.1,23622.343841997994,65.69356980196156,-171.4763231197771,"65.69357, -171.476323",Donald Trump (without dependencies),11934.66,239509.19405481778,65.96529483812505,-166.58319227871144,"65.965295, -166.583192",Donald Trump,10928.49,242155.68125120786,65.09499344575588,-166.58319227871144,"65.094993, -166.583192",Lesotho,1084.69,15673027.70708556,-28.57080078099989,28.65136909500012,Northmost point
Pago Pago,5146.5349064906495,9447308.39367019,530,Donald Trump,12999.7,1196.7061783213849,-14.28881338855809,-170.7029502492597,American Samoa: Eastern pole of inaccessibility,Samoa,11974.75,79024.50827876777,-14.076943,-171.405548,Southeastmost point,whensley,10967.96,84156.59257981235,-14.046297,-171.445564,,Niger,284.83,18874835.679994017,22.99917602500005,14.997902871000067,Northeastmost point
Savoonga,6114.3295489548955,5573123.6308673825,508,Donald Trump,12979.5,82046.8220898673,63.07032503129075,-169.5993600518207,"63.070325, -169.59936",Vladimir Putin,11949.48,180189.0145473229,64.65081643434618,-173.48189415041776,"64.650816, -173.481894",Donald Trump (without dependencies),10920.73,273243.86486583075,64.93110942860582,-165.57780302100838,"64.931109, -165.577803",Lesotho,1033.61,15877499.40489504,-28.57080078099989,28.65136909500012,Northmost point
Lavrentiya,6125.407040704071,5528780.754752731,516,Vladimir Putin,12993.7,25204.88094325527,65.69356980196156,-171.4763231197771,"65.69357, -171.476323",Donald Trump (without dependencies),11943.09,205764.32933897676,65.96529483812505,-166.58319227871144,"65.965295, -166.583192",Donald Trump,10936.08,211783.8762138465,65.09499344575588,-166.58319227871144,"65.094993, -166.583192",Lesotho,1082.76,15680753.658928754,-28.57080078099989,28.65136909500012,Northmost point
Alofi,5087.610693069307,9683183.370060768,542,Niue,12998.98,4082.1613172211323,-19.074722288999908,-169.95083618299992,Westmost point 2,Tonga,11889.14,421712.3629211656,-18.629999,-173.901947,Vava'u eastmost point,Donald Trump,10857.09,527980.6511152872,-14.373241821999954,-170.75921885199992,Southmost point,Niger,294.95,18834360.19660909,12.999650002000124,0.997500003000031,Southwestmost point
Ta`ū,5149.812761276127,9434187.737470264,537,Donald Trump,12999.59,1627.7513169652102,-14.222565612457737,-169.5045279506601,American Samoa: Manu'a centroid,Samoa,11943.39,204569.7485221789,-14.011945,-171.397705,Eastmost point,whensley,10936.71,209263.6562972005,-14.046297,-171.445564,,Niger,277.75,18903193.833152622,14.533438682000053,0.166250006000098,Westmost point
Uelen,6134.388184818482,5492829.209206989,518,Vladimir Putin,12977.11,91645.52277078289,65.69356980196156,-171.4763231197771,"65.69357, -171.476323",Donald Trump (without dependencies),11957.73,147150.59819709318,65.96529483812505,-166.58319227871144,"65.965295, -166.583192",Donald Trump,10941.64,189530.29780214172,65.09499344575588,-166.58319227871144,"65.094993, -166.583192",Lesotho,1090.9,15648152.563875701,-28.57080078099989,28.65136909500012,Northmost point
Unalaska,6050.701562156216,5827778.399253429,483,Donald Trump (without dependencies),12962.46,150254.0076065632,54.58925533341349,-164.5724137633053,"54.589255, -164.572414",Donald Trump,11937.68,227429.5801038651,54.97165137343029,-163.5670245056022,"54.971651, -163.567025",Yelldosh,10812.34,707135.7926971642,51.982092,-176.617036,,Lesotho,767.43,16943017.525902588,-28.57080078099989,28.65136909500012,Northmost point
Hooper Bay,6120.9173487348735,5546729.336225919,495,Donald Trump (without dependencies),12989.28,42930.484628350176,61.82855320004812,-165.57780302100838,"61.828553, -165.577803",Donald Trump,11978.35,64621.2059248516,62.057990824058194,-165.57780302100838,"62.057991, -165.577803",Vladimir Putin,10862.13,507819.17024689564,64.65081643434618,-173.48189415041776,"64.650816, -173.481894",Lesotho,955.14,16191584.040341238,-28.57080078099989,28.65136909500012,Northmost point
Shishmaref,6152.041606160616,5422138.466542741,515,Donald Trump,12993.08,27696.737112303505,66.10732765298843,-165.57780302100838,"66.107328, -165.577803",Donald Trump (without dependencies),11984.68,39271.02590205175,65.96529483812505,-165.57780302100838,"65.965295, -165.577803",Vladimir Putin,10927.67,245434.66666573827,66.73632316957696,-171.4763231197771,"66.736323, -171.476323",Lesotho,1076.68,15705092.953500312,-28.57080078099989,28.65136909500012,Northmost point
Point Hope,6160.425830583058,5388576.608136547,520,Donald Trump,12986.65,53426.25235430186,68.13199606745354,-165.57780302100838,"68.131996, -165.577803",Donald Trump (without dependencies),11978.85,62603.85506196267,68.87864700000011,-166.214066,Northeastmost point,Vladimir Putin,10921.66,269509.73250664596,66.73632316957696,-171.4763231197771,"66.736323, -171.476323",Lesotho,1133.51,15477583.798133153,-28.57080078099989,28.65136909500012,Northmost point
Akutan,6058.343916391639,5797186.748049898,483,Donald Trump (without dependencies),12976.79,92903.68459783617,54.58925533341349,-164.5724137633053,"54.589255, -164.572414",Donald Trump,11951.99,170123.2582113406,54.97165137343029,-163.5670245056022,"54.971651, -163.567025",Yelldosh,10798.6,762135.4426535044,51.982092,-176.617036,,Lesotho,767.76,16941701.930519294,-28.57080078099989,28.65136909500012,Northmost point
Toksook Bay,6119.179064906491,5553687.711727946,488,Donald Trump (without dependencies),12989.77,40953.32702064498,60.79436779052888,-164.5724137633053,"60.794368, -164.572414",Donald Trump,11978.55,63801.73290315698,61.04565661682564,-164.5724137633053,"61.045657, -164.572414",Vladimir Putin,10832.53,626306.6719676718,64.65081643434618,-173.48189415041776,"64.650816, -173.481894",Lesotho,924.43,16314541.33473111,-28.57080078099989,28.65136909500012,Northmost point
Chevak,6123.803377337734,5535175.746855557,495,Donald Trump (without dependencies),12991.64,33447.52151202158,61.82855320004812,-165.57780302100838,"61.828553, -165.577803",Donald Trump,11979.76,58958.48089062673,62.057990824058194,-165.57780302100838,"62.057991, -165.577803",Vladimir Putin,10857.32,527061.0245668589,64.65081643434618,-173.48189415041776,"64.650816, -173.481894",Lesotho,952.43,16202464.56395723,-28.57080078099989,28.65136909500012,Northmost point
Nome (Alaska),6144.907568756876,5450695.690683163,512,Donald Trump (without dependencies),12987.88,48501.77025129423,64.93110942860582,-165.57780302100838,"64.931109, -165.577803",Donald Trump,11975.27,76940.64621733387,65.09499344575588,-164.5724137633053,"65.094993, -164.572414",Vladimir Putin,10910.68,313445.83387860074,65.69356980196156,-171.4763231197771,"65.69357, -171.476323",Lesotho,1028.37,15898473.2206189,-28.57080078099989,28.65136909500012,Northmost point
Kipnuk,6121.04100110011,5546210.327553146,483,Donald Trump,12992.91,28397.196596097252,60.03332240959308,-163.5670245056022,"60.033322, -163.567025",Donald Trump (without dependencies),11969.64,99503.52081674458,60.79436779052888,-164.5724137633053,"60.794368, -164.572414",Yelldosh,10818.04,684315.6393514192,59.954847,-151.735031,,Lesotho,903.66,16397680.17341059,-28.57080078099989,28.65136909500012,Northmost point
Emmonak,6138.646765676568,5475758.126429576,497,Donald Trump (without dependencies),12997.56,9773.898192258186,62.86273860956735,-164.5724137633053,"62.862739, -164.572414",Donald Trump,11986.34,32625.28716373271,63.07032503129075,-164.5724137633053,"63.070325, -164.572414",Vladimir Putin,10872.45,466491.0430634474,65.69356980196156,-171.4763231197771,"65.69357, -171.476323",Lesotho,979.71,16093226.139792705,-28.57080078099989,28.65136909500012,Northmost point
Mountain Village (Alaska),6138.550319031903,5476120.411663033,494,Donald Trump,12997.75,8996.942348606042,62.057990824058194,-163.5670245056022,"62.057991, -163.567025",Donald Trump (without dependencies),11987.05,29812.427336046945,61.82855320004812,-163.5670245056022,"61.828553, -163.567025",Vladimir Putin,10851.28,551238.1499558099,65.69356980196156,-171.4763231197771,"65.69357, -171.476323",Lesotho,958.16,16179490.88884167,-28.57080078099989,28.65136909500012,Northmost point
Kotlik,6145.757172717272,5447295.044447865,497,Donald Trump,12998.95,4187.79241760323,63.07032503129075,-163.5670245056022,"63.070325, -163.567025",Donald Trump (without dependencies),11989.76,18937.79016567926,62.86273860956735,-163.5670245056022,"62.862739, -163.567025",Vladimir Putin,10868.62,481826.7524472707,65.69356980196156,-171.4763231197771,"65.69357, -171.476323",Lesotho,982.31,16082820.242271012,-28.57080078099989,28.65136909500012,Northmost point
King Cove,6090.949790979098,5666640.879238247,481,Donald Trump (without dependencies),12980.27,78970.9332929364,55.62344074293273,-161.55624599019603,"55.623441, -161.556246",Donald Trump,11974.46,80209.95303463146,54.97165137343029,-163.5670245056022,"54.971651, -163.567025",US Geoguessr Professor,10819.07,680160.1208189611,57.788577,-152.402724,,Lesotho,767.97,16940851.874407966,-28.57080078099989,28.65136909500012,Northmost point
Kasigluk,6137.603421342134,5479910.594799454,486,Donald Trump (without dependencies),12997.13,11496.997138827788,60.79436779052888,-162.56163524789912,"60.794368, -162.561635",Donald Trump,11990.28,16854.7863913682,61.04565661682564,-162.56163524789912,"61.045657, -162.561635",Yelldosh,10839.04,600241.7710751289,59.954847,-151.735031,,Lesotho,921.7,16325455.53286214,-28.57080078099989,28.65136909500012,Northmost point
Pilot Station,6142.5914411441145,5459943.2823015945,495,Donald Trump (without dependencies),12994.88,20498.084634548504,61.82855320004812,-162.56163524789912,"61.828553, -162.561635",Donald Trump,11989.24,21047.927878438222,62.057990824058194,-162.56163524789912,"62.057991, -162.561635",Vladimir Putin,10840.92,592695.5245930599,65.69356980196156,-171.4763231197771,"65.69357, -171.476323",Lesotho,950.72,16209298.161434656,-28.57080078099989,28.65136909500012,Northmost point
Stebbins,6155.8459955995595,5406909.107653535,504,Donald Trump,12987.05,51837.68102635938,63.07032503129075,-162.56163524789912,"63.070325, -162.561635",Donald Trump (without dependencies),11975.92,74364.42358129605,62.86273860956735,-162.56163524789912,"62.862739, -162.561635",Vladimir Putin,10864.16,499673.4495336072,65.69356980196156,-171.4763231197771,"65.69357, -171.476323",Lesotho,990.4,16050444.370768117,-28.57080078099989,28.65136909500012,Northmost point
Kotzebue,6172.031496149615,5342118.4460341055,520,Donald Trump (without dependencies),12997.17,11344.516753672488,66.99948024764427,-162.56163524789912,"66.99948, -162.561635",Donald Trump,11988.34,24647.428179625113,67.11966186022099,-162.56163524789912,"67.119662, -162.561635",Vladimir Putin,10891.88,388717.186201404,66.73632316957696,-171.4763231197771,"66.736323, -171.476323",Lesotho,1081.52,15685684.514791453,-28.57080078099989,28.65136909500012,Northmost point
Noatak,6173.382618261826,5336710.075582914,520,Donald Trump,12986.74,53091.962184447504,67.11966186022099,-162.56163524789912,"67.119662, -162.561635",Donald Trump (without dependencies),11980.96,54156.70718553509,68.03366565716351,-162.56163524789912,"68.033666, -162.561635",Vladimir Putin,10894.39,378652.2828003636,66.73632316957696,-171.4763231197771,"66.736323, -171.476323",Lesotho,1100.57,15609428.358025812,-28.57080078099989,28.65136909500012,Northmost point
Quinhagak,6133.1181848184815,5497864.392551499,481,Donald Trump (without dependencies),12994.96,20179.202203382647,59.760182381009656,-161.55624599019603,"59.760182, -161.556246",Donald Trump,11985.14,37451.28169531537,60.03332240959308,-161.55624599019603,"60.033322, -161.556246",Yelldosh,10846.98,568458.2721483847,59.954847,-151.735031,,Lesotho,888.85,16456976.559494918,-28.57080078099989,28.65136909500012,Northmost point
Kwethluk,6143.812530253025,5455054.841032466,480,Donald Trump (without dependencies),12998.17,7339.816506560846,60.79436779052888,-161.55624599019603,"60.794368, -161.556246",Donald Trump,11987.72,27107.089820443376,61.04565661682564,-161.55624599019603,"61.045657, -161.556246",Yelldosh,10853.99,540401.2501256188,59.954847,-151.735031,,Lesotho,915.05,16352068.134653917,-28.57080078099989,28.65136909500012,Northmost point
Noorvik,6179.29097909791,5313059.098281755,528,Donald Trump (without dependencies),12993.1,27612.053204777647,66.99948024764427,-160.55085673249295,"66.99948, -160.550857",Donald Trump,11985.09,37653.11265440931,67.11966186022099,-160.55085673249295,"67.119662, -160.550857",Alpha Chad,10876.52,450219.67298005306,66.555813,-150.811026,,Lesotho,1075.56,15709548.062580548,-28.57080078099989,28.65136909500012,Northmost point
Sand Point,6106.511650165016,5604346.125572524,481,Donald Trump (without dependencies),12991.98,32121.094930671075,55.62344074293273,-160.55085673249295,"55.623441, -160.550857",Donald Trump,11971.08,93711.76143654578,55.983985580662846,-159.54546747478986,"55.983986, -159.545467",US Geoguessr Professor,10847.67,565672.9659020719,57.788577,-152.402724,,Lesotho,765.63,16950197.82947958,-28.57080078099989,28.65136909500012,Northmost point
Togiak,6138.213597359736,5477467.539064489,479,Donald Trump,12997.26,10969.413122311791,59.02098820236052,-160.55085673249295,"59.020988, -160.550857",Donald Trump (without dependencies),11975.16,77388.70067569138,58.72599697149042,-161.55624599019603,"58.725997, -161.556246",US Geoguessr Professor,10867.82,485019.3814292347,57.788577,-152.402724,,Lesotho,864.35,16555044.002089616,-28.57080078099989,28.65136909500012,Northmost point
Unalakleet,6166.280726072608,5365138.93911391,510,Donald Trump (without dependencies),12997.02,11909.330826560023,63.89692401908658,-160.55085673249295,"63.896924, -160.550857",Donald Trump,11987.99,26020.867547987105,64.0826592385233,-160.55085673249295,"64.082659, -160.550857",Jet (Sorcerer),10867.76,485260.8126301003,63.52497,-150.96034,,Lesotho,994.94,16032287.241038134,-28.57080078099989,28.65136909500012,Northmost point
Selawik,6183.334642464247,5296871.424282052,527,Donald Trump (without dependencies),12987.91,48409.20787209907,66.99948024764427,-159.54546747478986,"66.99948, -159.545467",Donald Trump,11979.77,58925.35677843777,66.10732765298843,-159.54546747478986,"66.107328, -159.545467",Alpha Chad,10887.54,406096.8056882395,66.555813,-150.811026,,Lesotho,1066.69,15745071.982913792,-28.57080078099989,28.65136909500012,Northmost point
Wainwright (nan),6196.872134213421,5242681.642060221,538,Donald Trump,12985.89,56480.40684995974,70.15666448191865,-159.54546747478986,"70.156664, -159.545467",Donald Trump (without dependencies),11978.94,62262.51214018545,70.10203647620197,-159.54546747478986,"70.102036, -159.545467",US Geoguessr Professor,10954.18,139344.1066521519,71.298429,-156.773626,,Lesotho,1176.41,15305849.262663668,-28.57080078099989,28.65136909500012,Northmost point
Avarua,5088.960253025302,9677780.407948913,556,Cook Islands,12999.44,2239.4265547370933,-21.198303,-159.794678,Rarotonga northmost point,riblet,11993.59,3632.2240048914755,-21.23834,-159.78701,,Blinky,10857.35,526938.6105303231,-21.813055,-154.723328,French Polynesia: Îles Australes westmost point 2,Libya,394.71,18435017.869861975,33.16541671700014,11.564582825000116,Northmost point
Napari Village,5454.436732673267,8214775.803183068,540,Kiribati,12964.4,142504.93699373672,4.699492,-160.399185,Northmost point,Donald Trump,11902.94,366484.41816774907,5.871944000000157,-162.044998,United States Minor Outlying Isl: Palmyra southeastmost point,Cook Islands,10630.72,1434138.7000546353,-8.914979,-158.0,Northmost point,Republic of the Congo,264.05,18958048.42464219,2.170983553999974,13.299013137000145,Northwestmost point
Lihue,5750.756391639164,7028582.500001527,500,De Martian,12999.04,3844.3091667271397,21.958,-159.34447,,Nina,11993.0,5967.998335301539,22.03454,-159.37862,,Steve Lira,10985.44,14200.790639715095,21.87881,-159.45437,,Botswana,225.0,19114339.02967121,-22.197811126999966,29.368310928000028,Eastmost point
Kapa‘a,5752.497612761276,7021611.339452953,500,Nina,12998.09,7633.3027728181205,22.03454,-159.37862,,De Martian,11991.17,13296.016922282239,21.958,-159.34447,,pianoman,10984.34,18616.877829760564,22.223556,-159.402754,,Botswana,223.51,19120329.37366176,-22.197811126999966,29.368310928000028,Eastmost point
Aniak,6160.8086358635865,5387019.664394781,500,Donald Trump (without dependencies),12993.04,27850.520445962356,61.82855320004812,-159.54546747478986,"61.828553, -159.545467",Donald Trump,11981.17,53349.81928574708,62.057990824058194,-159.54546747478986,"62.057991, -159.545467",alexaletourneau,10876.18,451570.74410606665,60.868936,-151.20964,,Lesotho,929.2,16295451.813080238,-28.57080078099989,28.65136909500012,Northmost point
Makakilo / Kapolei / Honokai Hale,5754.28696369637,7014449.721236699,501,Jedabilbert,12999.29,2827.825425649618,21.337115,-158.124061,,Potato Man,11993.77,2882.7790269407537,21.337278,-158.124593,,shinboy,10988.25,2960.7260812534005,21.336738,-158.125337,,Botswana,194.02,19238367.900568347,-22.197811126999966,29.368310928000028,Eastmost point
Dillingham,6151.147359735974,5425693.375394794,493,Donald Trump,12998.71,5163.769135672012,59.02098820236052,-158.5400782170868,"59.020988, -158.540078",Donald Trump (without dependencies),11974.45,80247.9870415815,59.760182381009656,-158.5400782170868,"59.760182, -158.540078",US Geoguessr Professor,10894.33,378918.93453881785,57.788577,-152.402724,,Lesotho,857.19,16583711.60824401,-28.57080078099989,28.65136909500012,Northmost point
London Village,5436.286083608361,8287432.967137687,540,Kiribati,12994.16,23397.154996136687,1.811731627575948,-157.35538064433672,Pole of inaccessibility,Donald Trump,11898.38,384723.6582779943,-0.372580468428948,-160.0079099675158,United States Minor Outlying Isl: Jarvis island northeastmost point,Cook Islands,10685.86,1213403.4864073321,-8.914979,-158.0,Northmost point,Rwanda,232.47,19084458.814843226,-2.078101634999939,30.899072648000185,Eastmost point 1
Tabwakea Village,5436.711595159516,8285729.1994929295,540,Kiribati,12993.23,27100.148542919622,1.811731627575948,-157.35538064433672,Pole of inaccessibility,Donald Trump,11898.04,386095.4675139012,-0.372580468428948,-160.0079099675158,United States Minor Outlying Isl: Jarvis island northeastmost point,Cook Islands,10685.0,1216842.2664131257,-8.914979,-158.0,Northmost point,Rwanda,232.81,19083088.03333744,-2.078101634999939,30.899072648000185,Eastmost point 1
Honolulu,5756.029900990099,7007472.596321883,501,staid,12999.98,63.69023970771499,21.307073,-157.857732,,Camphost,11994.29,813.8596237626933,21.306731,-157.850477,,Redoct878,10988.77,871.0426215623631,21.300587,-157.863249,,Botswana,188.05,19262272.720613245,-22.197811126999966,29.368310928000028,Eastmost point
Naknek,6159.012079207921,5394210.4245690275,492,Donald Trump (without dependencies),12993.01,27973.069723383855,58.72599697149042,-156.52929970168063,"58.725997, -156.5293",Donald Trump,11983.79,42834.271563588685,59.02098820236052,-156.52929970168063,"59.020988, -156.5293",US Geoguessr Professor,10916.74,289204.5605990865,57.788577,-152.402724,,Lesotho,844.72,16633590.874387434,-28.57080078099989,28.65136909500012,Northmost point
New Stuyahok,6161.920627062706,5382568.160795924,492,Donald Trump (without dependencies),12990.91,36406.18959061488,59.760182381009656,-157.53468895938371,"59.760182, -157.534689",Donald Trump,11982.09,49656.28273867763,59.02098820236052,-157.53468895938371,"59.020988, -157.534689",Yelldosh,10909.63,317676.08885196445,59.954847,-151.735031,,Lesotho,865.28,16551303.006115038,-28.57080078099989,28.65136909500012,Northmost point
Kahului,5761.488129812981,6985599.363993415,502,shinboy,12999.47,2118.067571067531,20.874807,-156.459738,,JunkoFett,11993.78,2863.399204395766,20.869566,-156.455262,,gurf,10985.76,12926.191651537709,20.77465,-156.45257,,Botswana,182.05,19286299.392236155,-26.907379149999883,20.68536949100013,Southmost point 1
Utqiagvik,6210.7692739273925,5187050.921807576,533,US Geoguessr Professor,12999.74,1025.4030111339537,71.298429,-156.773626,,burrito,11993.14,5408.9437154501675,71.32502,-156.68153,,Donald Trump,10984.89,16398.872168451402,71.16899868915122,-156.52929970168063,"71.168999, -156.5293",Lesotho,1189.62,15252960.337436449,-28.57080078099989,28.65136909500012,Northmost point
Hilo,5754.872860286028,7012079.90179882,511,Nina,12999.45,2201.124974958879,19.71931,-155.10849,,Cascadia,11993.9,2369.5082533149225,19.726155,-155.068446,,Puerto Vallarta,10988.32,2658.0679737720798,19.728421,-155.065384,,Botswana,226.56,19108114.714974545,-26.907379149999883,20.68536949100013,Southmost point 1
